Rank,Previous Rank,Name,Country,Earnings
160,159,Horacio Zeballos,Argentina,124986
161,164,Radu Albot,Moldova,122514
162,160,Dominic Inglot,England,121614
163,161,Adrian Menendez-Maceiras,Spain,120108
164,162,Matthias Bachinger,Germany,120012
165,163,Julien Benneteau,France,118644
166,165,Philipp Oswald,Austria,116935
167,166,Lukasz Kubot,Poland,116277
168,167,Liam Broady,England,114885
169,169,Luke Saville,Australia,114291
170,168,Stephane Robert,France,113521
171,170,Illya Marchenko,Ukraine,112818
172,171,Thiemo De Bakker,Netherlands,111677
173,172,Tommy Haas,Germany,109788
174,173,Yuichi Sugita,Japan,104286
175,174,Andre Sa,Brazil,104087
176,175,Facundo Bagnis,Argentina,103919
177,178,Artem Sitak,New Zealand,102694
178,176,Tobias Kamke,Germany,102253
179,183,Robert Lindstedt,Sweden,102239
180,177,Michael Venus,New Zealand,100593
181,179,Scott Lipsky,United States,98835
182,181,Philipp Petzschner,Germany,95486
183,182,Jonathan Erlich,Israel,95331
184,184,Oliver Marach,Austria,94397
185,186,Hiroki Moriya,Japan,94368
186,185,Vincent Millot,France,94346
187,190,Taro Daniel,Japan,94289
188,188,Andrey Rublev,Russia,94111
189,187,Facundo Arguello,Argentina,93405
190,191,Aleksandr Nedovyesov,Kazakhstan,91702
191,189,Andre Begemann,Germany,91520
192,196,Yoshihito Nishioka,Japan,90124
193,192,Santiago Gonzalez,Mexico,89908
194,194,Jared Donaldson,United States,89578
195,193,Mate Pavic,Croatia,89160
196,195,Guido Pella,Argentina,87844
197,197,Treat Huey,Philippines,84613
198,198,Kimmer Coppejans,Belgium,83246
199,198,Marco Cecchinato,Italy,83143
200,199,Julian Knowle,Austria,83057
