Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Jimmy Butler,SG,24,CHI,67,2591,13.5,0.522,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,108,100,2.4,4.6,7.1
Roy Hibbert,C,27,IND,81,2409,13.5,0.499,9.9,15,12.5,6.2,0.6,5.7,14.5,19.4,100,98,0.5,5,5.4
Kyle Korver,SG,32,ATL,71,2408,13.5,0.653,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,118,108,3.9,2,5.9
George Hill,PG,27,IND,76,2434,13.4,0.563,2.6,10.1,6.5,17.2,1.6,0.7,11.7,14.8,115,102,3.8,4,7.8
Jonas Jerebko,PF,26,DET,64,741,13.4,0.577,7.2,19.3,12.9,7.8,1.4,0.6,15.5,16,111,110,1,0.5,1.4
Jeremy Lamb,SG,21,OKC,78,1538,13.4,0.522,2.1,11.3,6.9,11.8,1.8,1.4,8.7,20.1,106,105,1.4,1.8,3.3
Brian Roberts,PG,28,NOP,72,1667,13.4,0.529,1.2,8.4,4.7,22.1,1.3,0.4,12.9,20,108,114,2,0.2,2.2
Luis Scola,PF,33,IND,82,1399,13.4,0.505,7.2,23.4,15.7,10.4,1,0.9,14.8,23.8,96,99,-0.4,2.8,2.5
Bismack Biyombo,C,21,CHA,77,1072,13.3,0.606,11,27.6,19.3,1.1,0.3,6.3,17.9,9.6,115,99,1.1,2.1,3.2
Randy Foye,SG,30,DEN,81,2485,13.3,0.558,1.6,8.5,5,17.7,1.3,1.2,13.2,18.8,110,111,3.3,1.3,4.6
Kevin Garnett,C,37,BRK,54,1109,13.3,0.467,6.5,32.1,19.3,12.4,2,3,15.5,18.9,93,101,-0.7,1.9,1.2
P.J. Tucker,SF,28,PHO,81,2490,13.3,0.54,7.3,16.6,11.9,8.1,2.2,0.7,12.7,14.2,113,106,3.3,2.8,6.1
Al-Farouq Aminu,SF,23,NOP,80,2045,13.2,0.516,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,105,108,1.3,1.8,3.1
Channing Frye,PF,30,PHO,82,2312,13.2,0.555,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,111,107,2.9,2.4,5.3
Shelvin Mack,PG,24,ATL,73,1490,13.2,0.51,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19,105,109,1.2,1.2,2.3
Glen Davis,PF,28,TOT,68,1662,13.1,0.491,7.4,16.4,11.9,7.8,1.8,1.4,10.4,19.9,99,106,0.2,1.8,2
Nando De Colo,SF,26,TOT,47,494,13.1,0.526,3.3,13.3,8.4,19.7,2.3,0.9,17.2,18.6,103,103,0.3,0.7,1
Jeff Green,SF,27,BOS,82,2805,13.1,0.52,2.1,13.6,7.7,8.4,1,1.3,11.1,23.6,102,109,1.3,2,3.3
Gerald Henderson,SG,26,CHA,77,2461,13.1,0.507,1.4,12.9,7.1,13.9,1.1,1,9.6,22.1,101,106,0.8,2.8,3.6
Cody Zeller,C,21,CHA,82,1416,13.1,0.498,9.4,18.8,14.1,10.4,1.5,2.3,15,18.9,101,102,0.4,2.2,2.6
Pablo Prigioni,PG,36,NYK,66,1283,13,0.642,3.2,8.8,5.9,25.6,2.8,0.1,23.4,9.3,127,110,2.5,0.9,3.4
Jeremy Tyler,C,22,NYK,41,398,13,0.532,10.9,21.6,16.1,3.3,0.8,4.5,15.9,19.1,101,107,0.1,0.4,0.5
C.J. Watson,PG,29,IND,63,1193,13,0.555,1.9,7.4,4.8,14.4,2.6,0.5,13.9,16.6,107,100,1.1,2.1,3.2
Omri Casspi,PF,25,HOU,71,1283,12.9,0.528,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,105,106,1,1.4,2.4
Raymond Felton,PG,29,NYK,65,2017,12.9,0.476,3.1,8.6,5.7,28.1,2.1,1.2,16.3,18.2,103,111,1.1,1.1,2.2
Rudy Gobert,C,21,UTA,45,434,12.9,0.507,13.1,28.5,20.6,2.4,1,7.4,23.8,14.2,94,104,-0.2,0.6,0.4
Tony Wroten,SG,20,PHI,72,1765,12.9,0.493,4.1,10.1,7,20.9,2.1,0.7,17.7,27.7,92,111,-1.8,0.9,-0.9
Ray Allen,SG,38,MIA,73,1936,12.8,0.59,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,111,109,2.5,1.5,4.1
Byron Mullens,C,24,TOT,45,414,12.8,0.544,6.2,18.2,12.1,5.5,1.8,2.1,13.4,20.9,99,106,0.1,0.4,0.5
Avery Bradley,PG,23,BOS,60,1855,12.7,0.51,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,100,109,0.4,1.4,1.8
Corey Brewer,SF,27,MIN,81,2609,12.7,0.55,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,108,107,2.4,2.7,5.2
Draymond Green,SF,23,GSW,82,1797,12.7,0.498,5.3,19.3,12.4,11.9,2.8,3,15.1,14.8,102,98,0.7,3.8,4.5
Jordan Hamilton,SF,23,TOT,60,1019,12.7,0.507,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,102,106,0.4,1.1,1.6
Tim Hardaway,SG,21,NYK,81,1875,12.7,0.554,1.2,6.6,3.8,5.8,1.2,0.3,5.9,19.6,112,114,2.7,0.4,3.1
Beno Udrih,SG,31,TOT,41,643,12.7,0.523,1.8,9.2,5.4,28,1.9,0.5,19.7,17.2,105,111,0.5,0.3,0.8
Jan Vesely,PF,23,TOT,54,776,12.7,0.498,11.7,16.1,13.9,4,3.4,3.5,15.4,13.2,101,100,0.2,1.4,1.6
Nate Wolters,PG,22,MIL,58,1309,12.7,0.486,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,105,114,0.9,0.2,1.2
Trey Burke,PG,21,UTA,70,2262,12.6,0.473,1.8,9,5.3,29.4,1,0.2,12.2,21.8,101,115,1,0,0.9
Dante Cunningham,SF,26,MIN,81,1635,12.6,0.474,7.3,14.9,11,7.7,1.9,2.7,7.2,15.1,104,105,0.9,2,2.9
Mike Dunleavy,SF,33,CHI,82,2584,12.6,0.549,2.1,13,7.6,12.3,1.3,1.4,11.3,17,108,102,2.4,4.1,6.5
Ryan Kelly,PF,22,LAL,59,1312,12.6,0.548,3.4,14.4,8.9,10.7,1.2,2.5,9.8,15.9,110,111,1.5,0.7,2.2
Kendall Marshall,PG,22,LAL,54,1564,12.6,0.494,1,9.6,5.3,44.3,1.5,0.2,25.6,16.3,101,113,0.6,0.3,0.9
Lavoy Allen,PF,24,TOT,65,1072,12.5,0.47,11.7,20,15.7,10.1,1.1,2.4,12,14.6,104,108,0.6,0.9,1.5
Aaron Brooks,PG,29,TOT,72,1557,12.5,0.518,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,105,110,1.3,0.9,2.2
Khris Middleton,SF,22,MIL,82,2460,12.5,0.541,2.7,12,7.2,11.7,1.8,0.7,11.9,19.1,105,113,1.9,0.8,2.7
Mike Miller,SF,33,MEM,82,1707,12.5,0.619,2.1,12.3,7.2,11.5,0.8,0.2,14.1,14.7,115,109,2.6,1.4,3.9
Gary Neal,SG,29,TOT,52,1114,12.5,0.53,1,8.3,4.6,13,0.8,0,11,23.8,102,113,0.6,0.3,1
Kevin Seraphin,C,24,WAS,53,578,12.5,0.533,10.5,15.3,12.8,4.9,0.3,3.7,14.9,21.5,100,106,0.2,0.6,0.8
Patrick Beverley,SG,25,HOU,56,1751,12.4,0.545,4.9,7.4,6.2,12.8,2.2,1,11.2,14.8,115,108,2.7,1.6,4.2
Wilson Chandler,SF,26,DEN,62,1927,12.4,0.526,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,107,110,1.8,1.2,3.1
Andrei Kirilenko,PF,32,BRK,45,857,12.4,0.532,7.7,12.7,10.2,13.1,2.4,1.9,20.3,14.6,103,107,0.4,0.9,1.3
Evan Turner,SF,25,TOT,81,2457,12.4,0.498,2.7,15.7,9,17.8,1.3,0.2,14.3,23.2,97,109,-0.5,1.8,1.4
Nick Calathes,SG,24,MEM,71,1173,12.3,0.506,2.3,11.5,6.9,26.5,3,0.6,22.8,17.5,97,104,-0.1,1.6,1.5
Xavier Henry,SF,22,LAL,43,908,12.3,0.511,2.9,10.5,6.7,8.8,2.4,0.6,11.9,23.1,97,111,-0.1,0.5,0.3
Caron Butler,SF,33,TOT,56,1419,12.2,0.512,1.7,16.8,9.2,9.6,1.7,1,9.5,20.1,102,108,0.6,1.2,1.8
Rasual Butler,SG,34,IND,50,378,12.2,0.585,1.9,9.9,6.1,7.4,1,1.8,8.7,15.4,113,102,0.5,0.6,1.1
Chris Douglas-Roberts,SF,27,CHA,49,1016,12.2,0.588,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,111,105,1.1,1.2,2.4
Wayne Ellington,SG,26,DAL,45,393,12.2,0.554,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,110,110,0.4,0.2,0.7
Anthony Randolph,PF,24,DEN,43,527,12.2,0.499,4.1,21,12.5,9.1,2.4,2.7,15.9,19.8,96,104,-0.1,0.7,0.6
Robert Sacre,C,24,LAL,65,1089,12.1,0.513,8,16.9,12.5,7,1.1,3.1,11.4,15.5,105,110,0.7,0.7,1.4
Matt Barnes,SF,33,LAC,63,1735,12,0.552,4,14.4,9.3,10.6,1.6,1.2,13,16.6,107,106,1.5,2,3.5
Jerryd Bayless,PG,25,TOT,72,1686,12,0.498,1.5,8.6,5,18.5,1.9,0.4,10.9,20.1,103,109,1.1,1.3,2.4
Michael Kidd-Gilchrist,SF,20,CHA,62,1502,12,0.516,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,104,103,0.9,2.2,3.1
Terrence Ross,SG,22,TOR,81,2159,12,0.553,2.3,11.3,6.8,6.1,1.5,1,10,18.6,107,107,2,2.2,4.2
Marcus Thornton,SG,26,TOT,72,1741,12,0.511,3.7,9.4,6.6,7.3,1.7,0.5,8.9,19.7,103,110,1,1,2
Jae Crowder,SF,23,DAL,78,1254,11.9,0.551,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,110,108,1.2,1.1,2.3
Ryan Hollins,PF,29,LAC,61,482,11.9,0.73,7.4,13.1,10.4,2.4,0.9,4.9,23.1,11.5,117,105,0.7,0.6,1.3
Dorell Wright,SF,28,POR,68,984,11.9,0.524,3.2,17.5,10.5,9.4,1.2,1.1,10.6,16.2,108,107,0.9,1,1.9
Nick Collison,PF,33,OKC,81,1353,11.8,0.599,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,117,106,2,1.6,3.6
Maurice Harkless,SF,20,ORL,80,1950,11.8,0.542,4,11.4,7.7,6.4,2.5,2,13.6,14.8,102,106,0.6,2.1,2.8
Richard Jefferson,SF,33,UTA,82,2213,11.8,0.573,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,109,114,2.3,0.4,2.7
Kyle Singler,SF,25,DET,82,2337,11.8,0.574,5.2,9.2,7.1,4.7,1.3,1.3,10.4,14,117,113,3.6,0.7,4.4
Mo Williams,PG,31,POR,74,1834,11.8,0.507,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,102,110,1,1.2,2.2
Pero Antic,PF,31,ATL,50,925,11.7,0.545,7.2,18.9,13.1,9.8,1,1,14.5,18.6,103,107,0.5,0.9,1.4
Reggie Evans,PF,33,TOT,54,899,11.7,0.516,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,102,104,0.3,1.2,1.5
Ishmael Smith,PG,25,PHO,70,1006,11.7,0.438,3.5,10.9,7.2,26,2.4,1,17.9,15.9,98,107,0,1,1
Jose Barea,PG,29,MIN,79,1471,11.6,0.471,1.2,10.5,5.7,32.7,0.9,0,15.2,23.9,98,110,-0.1,0.9,0.7
Austin Rivers,SG,21,NOP,69,1339,11.6,0.482,2.2,9.1,5.6,18.7,1.8,0.6,12.3,21.3,99,113,0.2,0.4,0.6
Jarrett Jack,PG,30,CLE,80,2252,11.5,0.498,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,102,110,0.9,1.4,2.3
Martell Webster,SF,27,WAS,78,2157,11.5,0.591,2,10.1,6,6.7,1,0.6,8.3,14.7,116,108,3.3,1.7,5
Derrick Williams,SF-PF,22,TOT,78,1820,11.5,0.524,4.3,15.8,10,4.7,1.3,0.9,11.3,16.2,105,109,1.3,1.3,2.6
Joel Freeland,C,26,POR,52,727,11.3,0.498,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,109,107,0.7,0.7,1.4
Steven Adams,C,20,OKC,81,1197,11.2,0.541,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108,102,0.9,1.9,2.9
Kent Bazemore,SG,24,TOT,67,911,11.2,0.515,1.2,12.6,6.9,15.7,2.3,1,16.8,22.6,93,108,-0.6,0.8,0.2
Matt Bonner,PF,33,SAS,61,690,11.2,0.582,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,114,103,0.8,1,1.8
O.J. Mayo,SG,26,MIL,52,1346,11.2,0.516,2,8.8,5.3,14.6,1.1,0.8,13.9,23,98,115,0,0,0.1
Jeff Ayres,PF,26,SAS,73,952,11.1,0.605,11,19.2,15.3,8.6,0.7,1.9,24.1,12.4,110,103,1,1.4,2.4
E'Twaun Moore,SG,24,ORL,79,1506,11.1,0.513,2.2,8.1,5.1,11.8,2,0.7,10.2,16.4,102,109,0.6,1.1,1.7
Toure' Murry,PG,24,NYK,51,373,11.1,0.479,4,10.1,6.9,21.5,2.7,0.2,18.9,22.5,93,109,-0.3,0.3,0
Steve Novak,PF,30,TOR,54,540,11.1,0.599,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,124,108,1,0.5,1.4
Jason Thompson,PF,27,SAC,82,2007,11.1,0.523,8.5,21.3,14.8,4.1,0.8,2.3,14.5,14.4,103,108,0.9,1.7,2.7
Steve Blake,PG,33,TOT,55,1498,11,0.508,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,103,109,0.7,1.1,1.8
Wesley Johnson,SF,26,LAL,79,2240,11,0.522,3.3,13.3,8.3,8.2,1.9,2.5,11.6,15.1,100,110,0.4,1.5,1.9
Cartier Martin,SF,29,TOT,59,870,11,0.562,1.7,12.8,7.3,5.9,1.6,0.6,10.4,17.1,104,108,0.5,0.8,1.3
Anthony Tolliver,PF,28,CHA,64,1298,11,0.605,2.9,11.8,7.3,5,0.8,0.9,6.6,12.4,118,107,1.9,1.3,3.2
James Anderson,SG,24,PHI,80,2309,10.9,0.53,2.7,11.7,7,9.9,1.6,1,12.2,15.9,102,112,0.9,0.9,1.9
Danny Granger,SF,30,TOT,41,847,10.9,0.502,4.3,12.9,8.8,7.8,0.7,1.5,12,20.5,99,103,0.1,1.2,1.3
Giannis Antetokounmpo,SF,19,MIL,77,1897,10.8,0.518,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15,99,110,0.1,1.1,1.2
Kirk Hinrich,PG,33,CHI,73,2116,10.8,0.494,1.7,8.5,5.2,22.6,2,1,15.1,17.3,100,102,0.4,3.3,3.8
Chris Johnson,SF,23,BOS,40,789,10.8,0.537,4.3,9.8,7,6,1.8,0.4,8.6,14.3,111,109,0.9,0.5,1.4
Matthew Dellavedova,SG,23,CLE,72,1271,10.7,0.534,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,111,111,1.4,0.7,2.1
Rashard Lewis,SF,34,MIA,60,971,10.7,0.535,3.2,10.7,7.1,8.5,2.9,0.7,12.3,14.1,105,106,0.5,1.1,1.7
Donatas Motiejunas,PF,23,HOU,62,952,10.7,0.504,7.4,18.2,13.1,5.5,1,1.6,12.7,17.8,101,106,0.3,1,1.4
Udonis Haslem,PF,33,MIA,46,653,10.5,0.523,8.4,24.7,16.8,2.9,0.9,2,12.7,13.9,104,105,0.3,0.8,1.1
Travis Outlaw,SF,29,SAC,63,1065,10.4,0.492,3.8,14.2,8.9,7,1,1.4,6.9,15.5,106,110,0.8,0.6,1.4
Thabo Sefolosha,SG,29,OKC,61,1584,10.4,0.517,3.7,11.5,7.8,8.3,2.5,0.9,12.9,11.9,106,104,0.9,2.1,3
Evan Fournier,SG,21,DEN,76,1503,10.3,0.533,2.4,12.1,7.3,11.6,1.1,0.3,14.3,19.7,101,111,0.6,0.8,1.4
Archie Goodwin,SG,19,PHO,52,533,10.3,0.507,5.3,13,9.2,5.7,1.9,1.6,18.7,19.4,93,107,-0.3,0.5,0.2
Ian Mahinmi,C,27,IND,77,1248,10.2,0.538,10.1,12.9,11.6,2.9,1.7,4.4,18.7,11.4,105,97,0.7,2.7,3.3
Alexey Shved,SG,25,MIN,63,664,10.2,0.452,3.4,10.1,6.6,14.9,1.9,1.8,14.8,20.8,93,107,-0.4,0.7,0.2
Quincy Acy,SF,23,TOT,63,847,10.1,0.52,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,109,107,0.6,0.9,1.5
Derek Fisher,SG,39,OKC,81,1428,10.1,0.542,1,8.3,4.8,11.6,2.5,0.2,11.1,13.7,110,106,1.4,1.7,3.1
Perry Jones,PF,22,OKC,62,764,10.1,0.541,4.3,12.1,8.4,4.9,0.9,2,9.5,12.8,110,107,0.7,0.8,1.5
Nazr Mohammed,C,36,CHI,80,562,10.1,0.445,13.6,21.7,17.7,5.8,1.3,4.1,21,14.5,90,97,-0.4,1.2,0.8
Chuck Hayes,C,30,TOT,61,754,10,0.468,10.5,21.8,16.1,6.8,2.3,1.3,19,10.4,102,103,0.2,1.2,1.4
Gerald Wallace,SF,31,BOS,58,1416,10,0.543,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,95,106,-0.3,1.6,1.3
Andrew Nicholson,PF,24,ORL,76,1174,9.9,0.489,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,95,108,-0.4,1,0.6
Harrison Barnes,SF,21,GSW,78,2204,9.8,0.486,3.3,11.9,7.7,7.6,1.5,0.7,10,16.8,100,105,0.4,2.8,3.2
Aron Baynes,C,27,SAS,53,491,9.7,0.467,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,97,105,-0.1,0.6,0.6
Chase Budinger,SF,25,MIN,41,751,9.7,0.505,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,103,109,0.3,0.6,0.9
Ray McCallum,PG,22,SAC,45,897,9.7,0.439,2.2,7.8,5,21,1.2,0.8,10.9,17.6,98,112,0,0.4,0.4
Greg Stiemsma,C,28,NOP,55,1007,9.7,0.584,8.2,18,13,5,1.8,4.7,24.4,8.1,107,107,0.5,1,1.5
Robbie Hummel,SF,24,MIN,53,655,9.6,0.492,5.7,16.6,11,5,1.2,0.2,5.2,12.6,110,108,0.6,0.6,1.1
Iman Shumpert,SG,23,NYK,74,1962,9.6,0.48,4.7,14,9.2,9.8,2.5,0.6,13.3,14.1,100,108,0.4,1.6,2
Alan Anderson,SF,31,BRK,78,1773,9.5,0.525,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,103,111,0.8,0.9,1.7
Hollis Thompson,SF,22,PHI,77,1742,9.5,0.57,4.4,11.2,7.7,6.1,1.5,0.5,12.9,11.3,110,112,1.4,0.6,2
Darrell Arthur,SF,25,DEN,68,1161,9.4,0.459,4.8,14.7,9.8,8,1.6,3,11.7,18.1,94,107,-0.5,1.2,0.7
Kentavious Caldwell-Pope,SG,20,DET,80,1583,9.4,0.483,2.5,8.6,5.4,5,2.4,0.6,5.4,13.9,106,111,1,0.8,1.8
Meyers Leonard,C,21,POR,40,355,9.4,0.489,8,25.5,16.8,7.3,1,1,13,14.2,104,105,0.2,0.5,0.6
Francisco Garcia,SF,32,HOU,55,1083,9.3,0.521,2.3,9.8,6.3,8.6,1.2,2.3,9,13.5,108,108,0.8,0.9,1.8
Toney Douglas,PG,27,TOT,51,675,9.2,0.493,3.4,11.9,7.8,14.6,1.5,0.6,14.2,16.3,101,107,0.2,0.7,0.9
Earl Clark,PF,26,TOT,54,768,9.1,0.466,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,92,107,-0.4,0.8,0.3
Darius Miller,SF,23,NOP,45,723,9,0.55,1.4,7,4.2,8.7,1.7,1,10.8,12.8,110,113,0.6,0.2,0.8
Luke Ridnour,PG,32,TOT,61,1141,9,0.452,2.2,7.6,4.8,24.3,1.5,0.6,16.3,16.1,95,112,-0.3,0.4,0.1
Andre Roberson,PF,22,OKC,40,399,9,0.518,10.7,15.6,13.3,5.2,2.4,2,20.8,10.1,105,102,0.2,0.6,0.8
Jared Dudley,SF,28,LAC,74,1729,8.9,0.541,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,107,109,1.2,1.2,2.4
Norris Cole,PG,25,MIA,82,2014,8.8,0.497,1.1,8.6,5,17.9,2,0.2,19.3,15.6,96,108,-0.5,1.7,1.2
Phil Pressey,PG,22,BOS,75,1132,8.8,0.39,1.9,8.8,5.3,30.8,3.1,0.3,24.2,14.1,89,107,-1,1.1,0.1
Shane Battier,SF,35,MIA,73,1468,8.7,0.523,3,8.6,5.9,6,1.8,2.3,6.9,10,110,108,1,1.4,2.4
Elliot Williams,SG,24,PHI,67,1157,8.7,0.519,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,98,113,0,0.3,0.3
Alonzo Gee,SF,26,CLE,65,1020,8.6,0.491,3.8,12.8,8.2,6.9,2,1.2,14.3,13.4,97,107,-0.1,1,0.9
Quincy Miller,SF,21,DEN,52,789,8.6,0.459,4.9,15.2,10.1,4.9,1.4,3,14.6,17.7,90,108,-0.7,0.7,0
Donald Sloan,SG,26,IND,48,392,8.5,0.437,1.2,11,6.3,20.1,1.3,0.2,14.9,17.2,91,102,-0.3,0.6,0.3
Shane Larkin,PG,21,DAL,48,489,8.3,0.446,2.6,7.3,5,20.4,2.7,0.2,20.9,17.4,90,110,-0.4,0.3,-0.1
Luc Mbah a Moute,PF-SF,27,TOT,64,1003,8.3,0.503,6,10.1,8,5.1,1.5,1.1,15.2,11.2,101,109,0.2,0.8,1
Tayshaun Prince,SF,33,MEM,76,1948,8.2,0.438,1.9,12.3,7.1,8.9,1.1,0.8,7.3,13.3,97,108,-0.2,1.8,1.5
Tony Snell,SG,22,CHI,77,1231,8,0.489,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,97,104,-0.1,1.7,1.6
John Salmons,SG-SF,34,TOT,78,1726,7.8,0.462,1.3,9.6,5.5,12.8,1.4,0.9,11,12.8,100,108,0.2,1.4,1.7
Garrett Temple,SG,27,WAS,75,638,7.8,0.431,3.8,8.7,6.2,15.8,2.8,1.4,20.8,14.3,89,104,-0.5,0.9,0.3
Ben McLemore,SG,20,SAC,82,2187,7.7,0.485,2.7,9.5,6.1,5.8,1,0.7,11.5,16.9,97,112,-0.1,0.9,0.8
Ekpe Udoh,PF,26,MIL,42,804,7.6,0.44,8.4,12.8,10.5,5.7,1,4.4,18.8,11.4,92,111,-0.4,0.4,0
Brandon Davies,PF,22,PHI,51,575,7.5,0.476,6.9,13.9,10.2,7.1,2,1.1,18.8,13.7,93,110,-0.3,0.4,0.1
Doron Lamb,SG,22,ORL,53,695,7.5,0.543,1.3,6.7,4,9.3,0.8,0.1,13.3,13.3,104,113,0.3,0.2,0.5
Alex Len,C,20,PHO,42,362,7.3,0.469,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,92,106,-0.2,0.4,0.2
Diante Garrett,PG,25,UTA,71,1048,7.1,0.459,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,87,113,-1.1,0.3,-0.8
Willie Green,SG,32,LAC,55,869,7.1,0.477,1.6,8.2,5,8.3,1.3,1,10.6,16.3,96,108,-0.2,0.7,0.5
Anthony Bennett,SF,20,CLE,52,663,6.9,0.425,8.1,18.4,13.1,4,1.6,1,15.5,20.3,85,107,-1.1,0.7,-0.4
Reggie Bullock,SF,22,LAC,43,395,6.7,0.46,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,93,108,-0.2,0.3,0.2
Kendrick Perkins,C,29,OKC,62,1207,6.3,0.474,8,19.9,14.2,7.6,1.1,2.2,28.8,11.5,88,104,-0.9,1.7,0.8
Dennis Schršder,PG,20,ATL,49,641,5.8,0.442,0.9,9.9,5.4,22,1.3,0,22.8,19,83,110,-1.1,0.4,-0.7
Orlando Johnson,SG,24,TOT,45,392,5.3,0.402,2.7,12.6,7.9,7.7,0.8,0.4,10.8,16.2,85,104,-0.5,0.5,0.1
John Lucas,PG,31,UTA,42,591,5.2,0.403,2.3,5.4,3.8,11.1,1.2,0,10,17,87,116,-0.7,0,-0.7
Marquis Teague,SG,20,TOT,40,443,3.8,0.398,0.3,10.2,5.3,20.6,1.2,0.9,22.5,18.2,78,107,-1,0.4,-0.5
