Player,Position,Age,Team,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
Mason Plumlee,PF,23,BRK,70,1275,19,0.67,9.3,19.6,14.5,8.1,2,3.6,16.6,17.1,121,104,3,1.7,4.7
Tony Parker,PG,31,SAS,68,1997,18.9,0.555,1,7.5,4.4,31.7,0.9,0.3,12.9,26.5,110,107,3.9,1.9,5.9
Andray Blatche,PF,27,BRK,73,1618,18.8,0.532,8.9,19.9,14.4,12.8,2.4,2,12.5,25.6,104,105,1.6,2.1,3.7
Amar'e Stoudemire,C,31,NYK,65,1466,18.8,0.596,8.7,17.2,12.8,4.2,0.8,2.2,12.3,23.4,112,110,2.9,0.9,3.8
Nikola Vucevic,C,23,ORL,57,1812,18.8,0.536,11.5,27.6,19.5,10.2,1.7,2,12.9,21.8,106,103,1.8,2.6,4.4
Patrick Mills,PG,25,SAS,81,1527,18.7,0.588,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,115,104,3.4,2.1,5.6
Damian Lillard,PG,23,POR,82,2937,18.6,0.568,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25,116,110,7.8,1.8,9.6
Chris Andersen,C,35,MIA,72,1396,18.5,0.683,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,130,102,3.8,2.2,6
James Johnson,SF,26,MEM,52,956,18.5,0.552,7.4,13.2,10.3,18.2,2.3,5,16,20,110,101,1.4,1.6,3
DeMar DeRozan,SG,24,TOR,79,3017,18.4,0.532,2,11.3,6.6,18.9,1.5,0.7,9.5,28,110,107,5.8,3,8.8
Tyreke Evans,SF,24,NOP,72,2028,18.4,0.504,4.3,15.4,9.8,30.4,2.2,0.9,14.5,27.1,103,110,1.8,1.3,3.1
Markieff Morris,PF,24,PHO,81,2153,18.4,0.564,7.3,18,12.6,10.9,1.6,1.8,12.9,23.2,111,106,4,2.4,6.4
Rudy Gay,SF,27,TOT,73,2531,18.3,0.54,5,14.8,9.8,15.1,1.9,1.8,14.2,27.6,104,107,2.3,2.5,4.8
Zach Randolph,PF,32,MEM,79,2705,18.3,0.51,11.6,23.3,17.4,12.7,1.1,0.7,12,26.1,105,105,2.9,3.5,6.4
Marc Gasol,C,29,MEM,59,1970,18.2,0.526,5,20.5,12.7,17.7,1.6,3.2,12,21.7,108,102,2.6,3.1,5.6
Kris Humphries,PF,28,BOS,69,1376,18.2,0.552,10.2,24,16.9,8.2,1.2,3.4,10.9,19,113,105,2.3,1.8,4.1
DeAndre Jordan,C,25,LAC,82,2870,18.2,0.63,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,121,98,5.3,5.8,11.1
Greg Monroe,PF,23,DET,82,2690,18.1,0.531,9.9,21.6,15.4,10.3,1.7,1.4,12.4,21.4,109,108,3.7,2.3,5.9
John Henson,PF,23,MIL,70,1856,17.9,0.543,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,106,108,1.7,1.5,3.3
Robin Lopez,C,25,POR,82,2603,17.7,0.605,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14,128,107,7,2.6,9.5
Chris Copeland,SF,29,IND,41,265,17.6,0.621,3.1,10.1,6.8,12.6,0.6,2,10.2,23.7,116,103,0.6,0.4,1
Marcin Gortat,C,29,WAS,81,2655,17.6,0.568,8.7,25.1,16.7,8.4,0.8,3.8,11.8,18.2,112,103,4.1,4,8.1
