RK,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG_,OBP,SLG,OPS
66,CWS,LF,158,629,70,172,36,2,12,77,40,88,3,0,0.273,0.314,0.394,0.709
67,BOS,DH,146,528,73,144,37,0,37,108,77,95,0,1,0.273,0.36,0.553,0.913
68,OAK,RF,149,526,67,143,25,4,20,77,49,65,10,2,0.272,0.333,0.449,0.781
69,STL,3B,154,574,101,156,44,3,28,84,81,151,4,3,0.272,0.365,0.505,0.871
70,LAA,2B,129,453,51,123,25,5,4,49,32,59,2,1,0.272,0.318,0.375,0.694
71,COL,RF,153,554,87,150,25,2,40,97,46,133,2,0,0.271,0.325,0.54,0.864
72,STL,C,136,488,34,132,23,2,4,61,32,59,3,1,0.27,0.31,0.35,0.66
73,SD,3B,152,526,63,142,33,4,14,63,34,56,1,0,0.27,0.32,0.428,0.748
74,TB,3B,160,604,74,163,35,1,21,73,51,132,3,1,0.27,0.328,0.435,0.764
75,LAA,SS,156,597,74,161,30,1,3,44,25,73,15,6,0.27,0.301,0.338,0.639
76,BAL,CF,137,546,74,147,25,3,27,82,24,102,3,1,0.269,0.308,0.474,0.782
77,PIT,2B,151,543,69,146,32,3,16,71,44,110,4,1,0.269,0.328,0.427,0.756
78,ATL,CF,141,505,65,135,18,2,10,59,45,102,23,6,0.267,0.327,0.37,0.697
79,CHC,CF,136,491,56,131,25,3,9,48,29,126,17,10,0.267,0.311,0.385,0.696
80,SEA,3B,161,623,85,166,37,0,26,74,54,98,6,6,0.266,0.328,0.451,0.779
81,ATL,SS,147,535,60,142,23,2,4,44,39,48,5,3,0.265,0.321,0.338,0.66
82,TB,SS,143,505,66,134,28,5,15,58,36,107,6,3,0.265,0.315,0.43,0.744
83,MIN,1B,158,592,69,157,34,2,10,66,67,112,2,1,0.265,0.338,0.38,0.718
84,SD,RF,154,596,80,158,31,3,23,100,39,147,12,2,0.265,0.312,0.443,0.755
85,CHC,SS,151,547,52,145,23,2,11,69,21,91,5,5,0.265,0.296,0.375,0.671
86,NYY,SS,155,525,57,139,24,2,9,56,33,85,5,3,0.265,0.318,0.37,0.688
87,TB,CF,151,505,62,133,25,12,10,40,24,95,18,5,0.263,0.298,0.42,0.718
88,PHI,SS,151,559,63,147,14,5,7,50,30,103,10,1,0.263,0.302,0.343,0.645
89,NYM,SS,137,483,55,127,22,0,16,59,19,63,0,1,0.263,0.295,0.408,0.703
90,STL,2B,150,557,71,146,28,4,11,61,36,95,15,8,0.262,0.321,0.386,0.707
91,SEA,RF,142,508,62,133,23,3,22,64,36,132,0,0,0.262,0.31,0.449,0.759
92,BAL,1B,160,573,100,150,31,0,47,117,84,208,2,3,0.262,0.361,0.562,0.923
93,SF,CF,133,512,55,134,21,3,3,37,32,93,12,4,0.262,0.303,0.332,0.635
94,OAK,C,136,445,58,116,21,3,18,71,56,97,0,2,0.261,0.341,0.443,0.783
95,KC,C,142,531,52,138,25,0,21,70,13,82,1,0,0.26,0.28,0.426,0.706
96,OAK,3B,149,562,64,146,29,3,16,60,28,144,5,2,0.26,0.299,0.407,0.706
97,NYY,LF,151,571,94,148,26,3,16,66,68,135,20,5,0.259,0.343,0.399,0.742
98,NYM,RF,157,580,98,150,33,2,26,70,91,151,11,6,0.259,0.364,0.457,0.821
98,NYY,3B,156,580,74,150,29,1,11,62,51,135,0,2,0.259,0.324,0.369,0.693
100,TEX,SS,160,596,69,154,34,2,7,62,46,78,25,9,0.258,0.309,0.357,0.667
101,OAK,SS,155,556,65,143,23,7,15,45,42,132,11,5,0.257,0.31,0.405,0.715
102,MIL,SS,142,560,57,144,16,5,6,50,13,93,25,6,0.257,0.281,0.336,0.616
103,CWS,RF,148,553,66,142,17,2,13,59,36,141,7,7,0.257,0.309,0.365,0.675
104,KC,SS,148,612,76,157,20,5,3,47,26,75,17,5,0.257,0.293,0.32,0.614
105,SF,SS,143,507,65,130,33,4,21,84,39,119,6,4,0.256,0.321,0.462,0.782
106,PIT,RF,153,593,83,152,35,6,9,52,55,121,27,10,0.256,0.32,0.381,0.701
107,LAA,RF,159,630,78,161,23,2,26,83,45,164,4,1,0.256,0.308,0.422,0.731
108,CIN,3B,157,619,82,158,43,1,35,89,44,137,13,8,0.255,0.309,0.498,0.806
109,DET,3B,154,549,42,140,33,6,15,73,39,152,0,3,0.255,0.303,0.419,0.721
110,DET,CF,140,485,73,123,24,8,5,26,45,145,23,11,0.254,0.321,0.367,0.688
111,OAK,DH,151,538,63,135,28,1,15,65,52,101,0,0,0.251,0.323,0.39,0.713
112,SD,LF,150,542,85,136,26,3,26,81,68,159,19,5,0.251,0.336,0.454,0.79
113,SD,C,147,515,65,129,33,2,14,62,35,131,4,1,0.25,0.305,0.404,0.709
114,NYY,DH,151,523,83,131,22,1,33,86,84,145,4,0,0.25,0.356,0.486,0.842
115,TOR,RF,153,543,108,136,29,3,40,114,110,106,8,2,0.25,0.377,0.536,0.913
116,CHC,RF,148,440,64,110,25,6,16,41,58,94,11,2,0.25,0.341,0.443,0.784
116,CHC,CF,156,596,102,149,29,8,17,46,84,154,20,7,0.25,0.346,0.411,0.757
118,CWS,SS,154,583,54,145,33,0,10,62,31,68,17,7,0.249,0.285,0.357,0.642
