Player,PA,PC,PC %,CA,CC,Team
Javi Martínez,124,119,96%,2,0,Bayern
Georgi Zhukov,124,99,80%,0,0,Astana
Serhiy Sydorchuk,123,108,88%,0,0,Dynamo Kyiv
Nikola Mitrovic,122,106,87%,11,5,M. Tel-Aviv
Bibras Natcho,122,103,84%,4,1,CSKA Moskva
Raheem Sterling,119,101,85%,4,1,Man. City
Hernanes,114,100,88%,3,0,Juventus
Derlis González,113,88,78%,9,0,Dynamo Kyiv
Francis Coquelin,112,101,90%,0,0,Arsenal
Denys Garmash,112,96,86%,0,0,Dynamo Kyiv
Ashley Young,112,89,79%,17,0,Man. United
Vladimir Rodi_,112,84,75%,22,5,Malmö
Marko Rog,110,88,80%,2,0,Dinamo Zagreb
David Silva,109,95,87%,6,1,Man. City
Nemanja Maksimovic,108,88,81%,1,0,Astana
Javi García,104,92,88%,0,0,Zenit
Evgeni Yablonski,102,85,83%,4,1,BATE
Igor Stasevich,101,60,59%,13,5,BATE
Esteban Cambiasso,98,76,78%,0,0,Olympiacos
Yasin Öztekin,95,70,74%,6,1,Galatasaray
Iago Falqué,93,75,81%,9,2,Roma
Olcan Adin,90,68,76%,4,1,Galatasaray
André Schürrle,89,65,73%,4,1,Wolfsburg
Roman Eremenko,87,74,85%,3,1,CSKA Moskva
Michael Carrick,86,78,91%,0,0,Man. United
Aleksandr Volodko,86,61,71%,0,0,BATE
Nosa Igiebor,84,67,80%,0,0,M. Tel-Aviv
Stefano Sturaro,83,64,77%,1,0,Juventus
Georgi Milanov,79,59,75%,5,0,CSKA Moskva
Nemanja Nikolic,78,59,76%,2,0,BATE
Aaron Ramsey,77,67,87%,1,0,Arsenal
Sergi Darder,77,63,82%,0,0,Lyon
José Antonio Reyes,77,58,75%,7,2,Sevilla
Vitaliy Buyalskiy,74,64,86%,1,0,Dynamo Kyiv
Marouane Fellaini,72,63,88%,0,0,Man. United
Serikzhan Muzhikov,70,49,70%,3,2,Astana
Vieirinha,68,57,84%,5,1,Wolfsburg
Mario Götze,67,65,97%,1,1,Bayern
Maksym Malyshev,67,63,94%,0,0,Shakhtar Donetsk
Miguel Veloso,67,55,82%,3,1,Dynamo Kyiv
Vicente Iborra,66,54,82%,0,0,Sevilla
Kári Árnason,66,43,65%,0,0,Malmö
Sami Khedira,64,51,80%,1,0,Juventus
Javier Pastore,62,53,85%,1,0,Paris
Renato Sanches,62,46,74%,0,0,Benfica
Brecht Dejaegere,61,46,75%,1,0,Gent
Hector Herrera,60,57,95%,0,0,Porto
Gil Vermouth,60,49,82%,3,1,M. Tel-Aviv
Aleksandr Hleb,60,46,77%,0,0,BATE
Lars Bender,60,45,75%,1,0,Leverkusen
Lucas Vázquez,59,45,76%,7,3,Real Madrid
Mathieu Flamini,57,55,96%,1,1,Arsenal
Ruben Loftus-Cheek,57,54,95%,1,0,Chelsea
Maksim Volodko,56,41,73%,0,0,BATE
Arijan Ademi,54,53,98%,0,0,Dinamo Zagreb
Rachid Ghezzal,52,43,83%,8,1,Lyon
Seydou Keita,51,44,86%,1,0,Roma
Mikel Arteta,49,46,94%,0,0,Arsenal
