Player,PA,PC,PC %,CA,CC,Team
Georgi Schennikov,113,89,79%,4,0,CSKA Moskva
Omri Ben Harush,111,88,79%,1,0,M. Tel-Aviv
Marquinhos,108,101,94%,0,0,Paris
Adriano,107,95,89%,4,0,Barcelona
Serge Aurier,107,92,86%,18,4,Paris
Jason Denayer,106,86,81%,5,1,Galatasaray
Márcio Azevedo,103,96,93%,9,3,Shakhtar Donetsk
Antonio Rüdiger,103,96,93%,0,0,Roma
Eliaquim Mangala,102,95,93%,0,0,Man. City
Kieran Gibbs,101,99,98%,4,1,Arsenal
Alex Sandro,97,90,93%,9,0,Juventus
Pepe,96,90,94%,1,1,Real Madrid
Rasmus Bengtsson,93,82,88%,0,0,Malmö
Aleksandr Anyukov,93,76,82%,4,1,Zenit
Vasili Berezutski,89,83,93%,0,0,CSKA Moskva
Henri Bedimo,89,79,89%,7,0,Lyon
Nacho Monreal,89,75,84%,5,1,Arsenal
Mathieu Debuchy,83,68,82%,4,1,Arsenal
Milan Bi_evac,82,78,95%,0,0,Lyon
Vincent Kompany,81,72,89%,0,0,Man. City
Eli Dasa,81,62,77%,6,2,M. Tel-Aviv
Rafinha,80,70,88%,1,0,Gent
Domagoj Vida,79,71,90%,8,1,Dynamo Kyiv
Gaël Clichy,78,64,82%,2,0,Man. City
Yoshimar Yotún,78,59,76%,4,1,Malmö
Igor Smolnikov,77,70,91%,5,1,Zenit
Ivo Pinto,76,66,87%,9,0,Dinamo Zagreb
Vasilis Torosidis,76,61,80%,4,1,Roma
Leonardo Sigali,74,66,89%,0,0,Dinamo Zagreb
Manuel da Costa,74,52,70%,0,0,Olympiacos
Álvaro Arbeloa,73,69,95%,1,0,Real Madrid
Alberto Botía,72,60,83%,0,0,Olympiacos
Nélson Semedo,71,57,80%,6,2,Benfica
Maicon,69,55,80%,0,0,Porto
Kaspars Dubra,66,49,74%,0,0,BATE
André Ramalho,65,57,88%,0,0,Leverkusen
Stephan Lichtsteiner,65,54,83%,4,0,Juventus
Phil Jones,64,59,92%,0,0,Man. United
Roberto Hilbert,64,46,72%,1,0,Leverkusen
Pa Konate,63,43,68%,0,0,Malmö
Holger Badstuber,61,60,98%,0,0,Bayern
Sebastian Jung,61,56,92%,2,0,Wolfsburg
Jesús Gámez,61,49,80%,7,3,Atlético
Ömer Toprak,61,49,80%,0,0,Leverkusen
Luís Neto,60,53,88%,0,0,Zenit
Timm Klose,57,52,91%,0,0,Wolfsburg
Leandro Salino,56,42,75%,2,0,Olympiacos
Santos,53,46,87%,0,0,Valencia
Stefan Savic,52,51,98%,0,0,Atlético
Medhi Benatia,50,46,92%,0,0,Bayern
Tony Jantschke,49,45,92%,0,0,Mönchengladbach
Rúben Vezo,47,41,87%,0,0,Valencia
Lisandro López,45,39,87%,0,0,Benfica
Antonio Barragán,43,35,81%,4,2,Valencia
Vyacheslav Shevchuk,43,34,79%,7,0,Shakhtar Donetsk
Simon Poulsen,42,36,86%,2,1,PSV
Branislav Ivanovic,42,36,86%,1,0,Chelsea
Ismaily,41,34,83%,6,1,Shakhtar Donetsk
Ivan Ordets,39,36,92%,0,0,Shakhtar Donetsk
Maicon,36,28,78%,1,0,Roma
Kirill Nababkin,35,31,89%,0,0,CSKA Moskva
Marcel Schäfer,34,28,82%,9,1,Wolfsburg
Abzal Beysebekov,34,25,74%,1,1,Astana
Vitali Gaiduchik,32,21,66%,0,0,BATE
Roel Brouwers,31,31,100%,0,0,Mönchengladbach
Yeldos Akhmetov,31,22,71%,1,0,Astana
Viktor Vasin,30,29,97%,0,0,CSKA Moskva
Franz Brorsson,28,21,75%,0,0,Malmö
Mariano Ferreira,26,20,77%,7,0,Sevilla
Lucas Orbán,26,19,73%,2,0,Valencia
Maksim Zhavnerchik,23,16,70%,0,0,BATE
Yuval Shpungin,21,17,81%,2,0,M. Tel-Aviv
Pablo Zabaleta,17,15,88%,0,0,Man. City
Jordy De Wijs,14,11,79%,2,0,PSV
Igor Pikalkin,14,11,79%,0,0,Astana
Calum Chambers,12,12,100%,0,0,Arsenal
Filip Benkovic,10,9,90%,0,0,Dinamo Zagreb
